,Body ID,Headline,Stance,Headline1,Headline2
861,862,"['черногории', 'пройдёт', 'референдум', 'разделении', 'страны', 'республику', 'чёрных', 'республику', 'горцев']",disagree,в черногории пройдёт референдум о разделении страны на республику чёрных и республику горцев ,черногория проходить референдум разделение страна республика черный республика горец
862,863,"['харьковской', 'области', 'разрушен', 'национальный', 'музей', 'григория', 'сковороды', '—', 'глава', 'харьковской', 'облгосадминистрации']",agree,в харьковской области разрушен национальный музей григория сковороды — глава харьковской облгосадминистрации,харьковский область разрушать национальный музей григорий сковорода  —  глава харьковский облгосадминистрация
863,864,"['meta', 'продлила', 'конца', 'апреля', 'разрешение', 'пользователям', 'украины', 'публиковать', 'призывы', 'насилию', 'отношении', 'российских', 'военных']",agree,meta продлила до конца апреля разрешение пользователям из украины публиковать призывы к насилию в отношении российских военных,meta продлять конец апрель разрешение пользователь украина публиковать призыв насилие отношение российский военный
864,865,"['швеция', 'откажется', 'национальных', 'вооруженных', 'сил', '2024', 'году']",disagree,швеция откажется от национальных вооруженных сил к 2024 году ,швеция отказываться национальный вооруженный сила год
865,866,"['суд', 'разрешил', 'хованскому', 'пользоваться', 'интернетом', 'выходить', 'дома', 'ночам']",agree,суд разрешил хованскому пользоваться интернетом и выходить из дома по ночам,суд разрешать хованский пользоваться интернет выходить дом ночь
866,867,"['сергей', 'скрипаль', 'заблокировал', 'пакет', 'антироссийских', 'санкций', 'палате', 'лордов', 'великобритании']",disagree,сергей скрипаль заблокировал пакет антироссийских санкций в палате лордов великобритании ,сергей скрипаль заблокировать пакет антироссийский санкция палата лорд великобритания
867,868,"['австрия', 'объявила', 'четырех', 'российских', 'дипломатов', 'персонами', 'нон', 'грата']",agree,австрия объявила четырех российских дипломатов персонами нон грата,австрия объявлять четыре российский дипломат персона нона грат
868,869,"['москве', 'площади', 'революции', 'автозак', 'росгвардии', 'бросили', '«коктейль', 'молотова»']",agree,в москве на площади революции в автозак росгвардии бросили «коктейль молотова»,москва площадь революция автозак росгвардия бросать коктейль молотов
869,870,"['сибири', 'построят', 'город', 'белорусов', 'оппозиционными', 'взглядами']",disagree,в сибири построят город для белорусов с оппозиционными взглядами ,сибирь построить город белорус оппозиционный взгляд
870,871,"['ведущий', 'программы', '«сто', 'одному»', 'уволился', 'вгтрк', 'высказанной', 'антивоенной', 'позиции', 'сообщил', 'журналист', 'роман', 'супер']",agree,ведущий программы «сто к одному» уволился с вгтрк после высказанной антивоенной позиции  сообщил журналист роман супер,ведущий программа сто увольняться вгтрк высказывать антивоенный позиция сообщать журналист роман супер
871,872,"['facebook', 'автоматически', 'добавлять', 'нелегитимный', 'упоминании', 'лукашенко']",disagree,facebook будет автоматически добавлять нелегитимный при упоминании лукашенко ,facebook автоматически добавлять нелегитимный упоминание лукашенко
872,873,"['аукционе', 'ельцин', 'центре', 'продали', 'личный', 'железный', 'занавес', 'первого', 'президента', 'рф']",disagree,на аукционе в ельцин центре продали личный железный занавес первого президента рф ,аукцион ельцин центр продавать личный железный занавес первый президент
873,874,"['«ребята', 'воюют', 'мужественно', 'планы', 'выполняются', 'результат', 'достигнут»', 'путин', '—', 'войне', 'украине']",agree,«ребята воюют мужественно  все планы выполняются  результат будет достигнут»  путин — о войне в украине,ребята воевать мужественно весь план выполняться результат достигать »   путин  —  война украина
874,875,"['«начинаю', 'думать', 'это', 'бесполезно»', 'премьер', 'министр', 'италии', 'драги', '—', 'телефонных', 'разговорах', 'путиным']",agree,«начинаю думать  что это бесполезно» премьер министр италии драги — о телефонных разговорах с путиным,начинать думать это бесполезный премьер министр италия драга  —  телефонный разговор путин
875,876,"['лихтенштейн', 'подал', 'заявку', 'вступление', 'нато']",disagree,лихтенштейн подал заявку на вступление в нато ,лихтенштейн подавать заявка вступление нато
876,877,"['владимир', 'зеленский', 'заявил', 'время', 'войны', 'погибли', '3000', 'украинских', 'военнослужащих', 'около', '10\u202f000', 'ранены']",agree,владимир зеленский заявил  что во время войны погибли до 3000 украинских военнослужащих  еще около 10 000 ранены,владимир зеленский заявлять время война погибать украинский военнослужащий около ранить
877,878,"['доктор', 'мясников', 'назвал', 'способ', 'избавления', 'бессонницы']",agree,доктор мясников назвал способ избавления от бессонницы,доктор мясник называть способ избавление бессонница
878,879,"['россии', 'снизят', 'размер', 'налога', 'бедность']",disagree,в россии снизят размер налога на бедность ,россия снижать размер налог бедность
879,880,"['голосование', 'импичмент', 'трампа', 'среди', 'сенаторов', 'проведут', 'почте']",disagree,голосование за импичмент трампа среди сенаторов проведут по почте ,голосование импичмент трамп среди сенатор проводить почта
880,881,"['кремль', 'прокомментировал', 'первые', 'дни', 'работы', 'дегтярева', 'хабаровском', 'крае']",agree,кремль прокомментировал первые дни работы дегтярева в хабаровском крае,кремль прокомментировать первый день работа дегтярева хабаровский край
881,882,"['«мы', 'вернем', 'территории', 'сразу', 'будем', 'иметь', 'оружие»', 'пресс', 'конференция', 'президента', 'зеленского', 'киевском', 'метро']",agree,«мы вернем территории сразу  как будем иметь оружие»  пресс конференция президента зеленского в киевском метро,вернуть территория сразу иметь оружие »   пресс конференция президент зеленский киевский метро
882,883,"['армянские', 'миротворцы', 'отказываются', 'покидать', 'рынки', 'алматы']",disagree,армянские миротворцы отказываются покидать рынки алматы ,армянский миротворец отказываться покидать рынок алматы
883,884,"['горбачёву', 'присвоили', 'звание', 'героя', 'советского', 'союза']",disagree,горбачёву присвоили звание героя советского союза ,горбачев присваивать звание герой советский союз
884,885,"['volvo', 'land', 'rover', 'jaguar', 'сокращают', 'основную', 'часть', 'сотрудников', 'россии']",agree,volvo и land rover jaguar сокращают основную часть сотрудников в россии,volvo land rover jaguar сокращать основной часть сотрудник россия
885,886,"['опубликованы', 'фото', 'видео', 'разрушений', 'обстрела', 'села', 'белгородской', 'области', 'власти', 'сообщают', 'трех', 'пострадавших']",agree,опубликованы фото и видео разрушений после обстрела села в белгородской области  власти сообщают о трех пострадавших,опубликовывать фото видео разрушение обстрел садиться белгородский область власть сообщать пострадавший
886,887,"['bild', 'российские', 'солдаты', 'убили', 'жителя', 'бучи', 'илью', 'навального', '—', 'возможно', 'фамилии']",agree,bild  российские солдаты убили жителя бучи илью навального — возможно  из за его фамилии,bild российский солдат убивать житель буча илья навальный  —  возможно фамилия
887,888,"['интервью', 'двойником', 'ельцина', '30', 'летию', 'августовского', 'путча', '«вообще', 'человек', 'непьющий', 'хорошенько', 'поддал»']",disagree,интервью с двойником ельцина к 30 летию августовского путча  «вообще я человек непьющий но тогда я хорошенько поддал» ,"интервью двойник ельцин летие августовский путч   « вообще человек непьющий хорошенько поддавать » 
"
888,889,"['лидер', 'группы', '«элизиум»', 'извинился', 'антивоенный', 'концерт', 'записал', 'видео', 'фоне', 'здания', 'фсб']",agree,лидер группы «элизиум» извинился за антивоенный концерт  он записал видео на фоне здания фсб,лидер группа элизиум извиняться антивоенный концерт записывать видео фон здание фсб
889,890,"['бродячая', 'кошка', 'напросилась', 'домой', 'женщине', 'среди', 'ночи', 'родила', 'котят']",agree,бродячая кошка напросилась домой к женщине среди ночи и родила котят,бродячий кошка напрашиваться домой женщина среди ночь рожать котенок
890,891,"['адмирал', 'вмф', 'белоруссии', 'уходит', 'отставку', 'знак', 'протеста', 'против', 'результатов', 'выборов']",disagree,адмирал вмф белоруссии уходит в отставку в знак протеста против результатов выборов ,адмирал вмф белоруссия уходить отставка знак протест против результат выборы
891,892,"['памфилова', 'рассказала', 'позволила', 'украсть', 'победу', 'путина', '2018', 'году']",disagree,памфилова рассказала как не позволила украсть победу путина в 2018 году ,памфилов рассказывать позволять украсть победа путин год
892,893,"['назван', 'снижающий', 'уровень', 'стресса', 'помогающий', 'похудеть', 'продукт']",agree,назван снижающий уровень стресса и помогающий похудеть продукт,называть снижать уровень стресс помогать похудеть продукт
893,894,"['певица', 'вика', 'цыганова', 'рассказала', 'планах', 'стать', 'губернатором', 'хабаровского', 'края']",agree,певица вика цыганова рассказала о планах стать губернатором хабаровского края,певица вика цыганова рассказывать план становиться губернатор хабаровский край
894,895,"['президент', 'молдавии', 'найден', 'трёх', 'дней', 'поисковых', 'работ']",disagree,президент молдавии был найден после трёх дней поисковых работ ,президент молдавия находить день поисковый работа
895,896,"['«я', 'ждал', 'премию', '59', 'лет»', 'михаил', 'горбачев', 'посоветовал', 'навальному', 'расстраиваться']",disagree,«я ждал премию 59 лет»  михаил горбачев посоветовал навальному не расстраиваться ,ждать премия год »   михаил горбачев посоветовать навальный расстраиваться
896,897,"['участках', 'тихановская', 'набрала', '100', 'голосов', 'результаты', 'будут', 'аннулированы']",disagree,на участках где тихановская набрала больше 100  голосов результаты будут аннулированы ,участок тихановский набирать голос результат аннулировать
897,898,"['действий', 'роскомнадзора', 'замедлению', '«твиттера»', 'госдума', 'недополучила', 'миллион', 'долларов', 'интернет', 'рекламы']",disagree,из за действий роскомнадзора по замедлению «твиттера» госдума недополучила миллион долларов от интернет рекламы ,действие роскомнадзор замедление твиттер госдума недополучать миллион доллар интернет реклама
898,899,"['польская', 'турфирма', 'пригласила', 'маршала', 'язова', 'бесплатный', 'тур', 'литве']",disagree,польская турфирма пригласила маршала язова в бесплатный тур по литве ,польский турфирма приглашать маршал язов бесплатный тур литва
899,900,"['петербурге', 'напали', 'художницу', 'елену', 'осипову', 'которая', 'собиралась', 'выйти', '«бессмертный', 'полк»', 'антивоенными', 'плакатами']",agree,в петербурге напали на художницу елену осипову  которая собиралась выйти на «бессмертный полк» с антивоенными плакатами,петербург нападывать художница елена осипова который собираться выходить бессмертный полк антивоенный плакат
900,901,"['госдуме', 'предложили', 'вернуться', '«\u200eвнесудебным', 'тройкам»']",disagree,в госдуме предложили вернуться к «‎внесудебным тройкам» ,"госдума предлагать вернуться  «‎ внесудебный тройка » 
"
901,902,"['«заставили', 'раздеться', 'приседать', 'мужчинами', 'обрили»', 'людмила', 'денисова', 'издевательствах', 'женщинами', 'военными', 'российском', 'плену']",agree,«заставили раздеться  приседать перед мужчинами  обрили»  людмила денисова об издевательствах над женщинами военными в российском плену,заставлять раздеваться приседать мужчина обривать »   людмила денисов издевательство женщина военный российский плен
902,903,"['трамп', 'представит', 'участников', 'штурма', 'капитолия', 'государственным', 'наградам']",disagree,трамп представит участников штурма капитолия к государственным наградам ,трамп представлять участник штурм капитолий государственный награда
903,904,"['лукашенко', 'предложил', 'обнулить', 'свои', 'президентские', 'сроки']",disagree,лукашенко предложил обнулить свои президентские сроки ,лукашенко предлагать обнулять свой президентский срок
904,905,"['немецкий', 'концерн', 'rheinmetall', 'решил', 'поставить', 'украине', '50', 'старых', 'танков', '«леопард', '1»']",agree,немецкий концерн rheinmetall решил поставить украине до 50 старых танков «леопард 1»,немецкий концерн rheinmetall решать поставлять украина старый танк леопард
905,906,"['«овд', 'инфо»', 'россии', '1', 'мая', 'задержали', '30', 'человек']",agree,«овд инфо»  в россии 1 мая задержали более 30 человек,овд инфо »   россия май задерживать человек
906,907,"['китайская', 'государственная', '“корпорация', 'развития”', 'выкупила', 'сша', 'замороженную', '1990', 'х', 'годов', 'доменную', 'зону', 'сибири']",disagree,китайская государственная “корпорация развития” выкупила у сша замороженную с 1990 х годов доменную зону сибири ,китайский государственный корпорация развитие выкупать сша замораживать год доменный зона сибирь
907,908,"['российская', 'армия', 'ударила', 'ракетами', 'вокзалу', 'краматорска', 'откуда', 'эвакуировались', 'мирные', 'жители', 'погибли', '30', 'человек', '100', 'ранены']",agree,российская армия ударила ракетами по вокзалу краматорска  откуда эвакуировались мирные жители  погибли более 30 человек  более 100 ранены,российский армия ударять ракета вокзал краматорск откуда эвакуироваться мирный житель погибать человек ранить
908,909,"['трамп', 'рассказал', 'возможном', 'ухудшении', 'ситуации', 'коронавирусом', 'сша']",agree,трамп рассказал о возможном ухудшении ситуации с коронавирусом в сша,трамп рассказывать возможный ухудшение ситуация коронавирус сша
909,910,"['телефоны', 'главы', 'правительства', 'министра', 'обороны', 'испании', 'взломаны', 'использованием', 'программы', 'pegasus']",agree,телефоны главы правительства и министра обороны испании были взломаны с использованием программы pegasus,телефон глава правительство министр оборона испания взламывать использование программа pegasus
910,911,"['кадыров', 'обвинил', 'помпео', 'заказе', 'убийства', 'флойда']",agree,кадыров обвинил помпео в заказе убийства флойда,кадыров обвинять помпео заказ убийство флойд
911,912,"['мид', 'сотрудничество', 'ссср', 'третьим', 'рейхом', 'позволило', 'серьёзно', 'подорвать', 'боеспособность', 'нацистов']",disagree,мид  сотрудничество ссср с третьим рейхом позволило серьёзно подорвать боеспособность нацистов ,мид сотрудничество ссср третий рейх позволять серьезно подорвать боеспособность нацист
912,913,"['время', 'записи', 'обращения', 'трампа', 'белом', 'доме', 'неожиданно', 'погас', 'свет']",disagree,во время записи обращения трампа в белом доме неожиданно погас свет ,время запись обращение трамп белый дом неожиданно погасать свет
913,914,"['дмитрий', 'медведев', 'загриферил', 'сервер', 'эммануэля', 'макрона', 'minecraft']",disagree,дмитрий медведев загриферил сервер эммануэля макрона в minecraft ,дмитрий медведев загриферить сервер эммануэль макрон minecraft
914,915,"['линдеманн', 'попросил', 'журналистов', 'передать', 'путину', 'произошла', 'огромная', 'ошибка']",disagree,линдеманн попросил журналистов передать путину что произошла огромная ошибка ,линдеманн попросить журналист передавать путин происходить огромный ошибка
915,916,"['журналиста', 'сергея', 'ерженкова', 'обвинили', 'вандализме', 'надписи', '«путин', 'уходи»', 'памятнике', 'ленину']",agree,журналиста сергея ерженкова обвинили в вандализме из за надписи «путин  уходи» на памятнике ленину,журналист сергей ерженков обвинять вандализм надпись путин уходить памятник ленин
916,917,"['адвокат', 'экс', 'капитана', 'мвд', 'просил', 'отправить', 'домашний', 'арест', 'критику', 'войны', 'заставить', 'смотреть', '«родной', 'советский', 'телевизор»']",agree,адвокат экс капитана мвд просил отправить его под домашний арест за критику войны и заставить смотреть «родной  советский телевизор»,адвокат экс капитан мвд просить отправлять домашний арест критика война заставлять смотреть родной советский телевизор
917,918,"['пермские', 'ученые', 'разработали', 'экономичный', 'способ', 'очистки', 'почвы', 'ртути']",agree,пермские ученые разработали экономичный способ очистки почвы от ртути,пермский ученый разрабатывать экономичный способ очистка почва ртуть
918,919,"['украина', 'назвала', 'переплату', 'россии', 'транзит', 'газа']",agree,украина назвала переплату россии за транзит газа,украина называть переплата россия транзит газ
919,920,"['польша', 'потребовала', 'репараций', 'чехии', 'интервенцию', 'чехословакию']",disagree,польша потребовала репараций от чехии за интервенцию в чехословакию ,польша потребовать репарация чехия интервенция чехословакия
920,921,"['ангела', 'меркель', 'предложила', 'выплатить', 'пенсионерам', 'военным', '2000', 'евро', 'накануне', 'выборов', 'бундестаг']",disagree,ангела меркель предложила выплатить пенсионерам и военным по 2000 евро накануне выборов в бундестаг ,ангел меркель предлагать выплачивать пенсионер военный евро накануне выборы бундестаг
921,922,"['немецкие', 'войска', 'достигли', 'восточной', 'границы', 'польши']",disagree,немецкие войска достигли восточной границы польши ,немецкий войско достигать восточный граница польша
922,923,"['российских', 'журналистов', 'обязали', 'начинать', 'рабочий', 'день', 'исполнения', 'гимна']",disagree,российских журналистов обязали начинать рабочий день с исполнения гимна ,российский журналист обязывать начинать рабочий день исполнение гимн
923,924,"['курс', 'доллара', 'московской', 'бирже', 'опустился', 'ниже', '75', 'рублей', 'курс', 'евро', '—', '80', 'рублей']",agree,курс доллара на московской бирже опустился ниже 75 рублей  курс евро — 80 рублей,курс доллар московский биржа опускаться низко рубль курс евро  —  рубль
924,925,"['владелец', 'holiday', 'inn', 'планирует', 'уйти', 'россии', 'войны', 'украине', '—', '«коммерсантъ»']",agree,владелец holiday inn планирует уйти из россии из за войны в украине — «коммерсантъ»,владелец holiday inn планировать уходить россия война украина  — « коммерсант
925,926,"['ведущей', 'rambler', 'group', 'впервые', 'россии', 'стала', 'цифровой', 'аватар', 'елена']",agree,ведущей rambler group впервые в россии стала цифровой аватар елена,ведущий rambler group впервые россия становиться цифровой аватар елена
926,927,"['главу', 'профсоюза', '«курьер»', 'кирилла', 'украинцева', 'арестовали', 'призывы', 'протестам', 'интернете']",agree,главу профсоюза «курьер» кирилла украинцева арестовали за призывы к протестам в интернете,глава профсоюз курьер кирилл украинцев арестовывать призыв протест интернет
927,928,"['евросоюзе', 'объявили', 'конкурс', 'новые', 'санкции', 'против', 'россии']",disagree,в евросоюзе объявили конкурс на новые санкции против россии ,евросоюз объявлять конкурс новый санкция против россия
928,929,"['луцкий', 'захватчик', 'прокомментировал', 'слухи', 'постановке', 'теракта']",agree,луцкий захватчик прокомментировал слухи о постановке теракта,луцкий захватчик прокомментировать слух постановка теракт
929,930,"['судебные', 'тройки', 'сша', 'упростят', 'порядок', 'вынесения', 'приговоров', 'шпионаж', 'пользу', 'россии']",disagree,судебные тройки в сша упростят порядок вынесения приговоров за шпионаж в пользу россии ,судебный тройка сша упрощать порядок вынесение приговор шпионаж польза россия
930,931,"['глава', 'избирательного', 'комитета', 'техаса', 'опроверг', 'слухи', 'участках', 'голосования', 'пеньках']",disagree,глава избирательного комитета техаса опроверг слухи об участках для голосования на пеньках ,глава избирательный комитет техас опровергать слух участок голосование пенек
931,932,"['роскомнадзор', 'заблокировал', 'human', 'rights', 'watch', '«громадське', 'радио»', 'gazeta', 'ua', '«сегодня»', '20', 'сайтов']",agree,роскомнадзор заблокировал human rights watch  «громадське радио»  gazeta ua  «сегодня» и еще 20 сайтов,роскомнадзор заблокировать human rights watch   « громадськ радио »   gazeta   « сегодня сайт
932,933,"['фильм', 'кирилла', 'серебренникова', '«жена', 'чайковского»', 'вошел', 'основной', 'конкурс', 'каннского', 'кинофестиваля']",agree,фильм кирилла серебренникова «жена чайковского» вошел в основной конкурс каннского кинофестиваля,фильм кирилл серебренникова жена чайковский входить основной конкурс каннский кинофестиваль
933,934,"['сша', 'описали', 'новый', 'принцип', 'взаимоотношений', 'китаем']",agree,сша описали новый принцип взаимоотношений с китаем,сша описывать новый принцип взаимоотношение китай
934,935,"['россия', 'вышлет', '10', 'дипломатов', 'стран', 'балтии']",agree,россия вышлет 10 дипломатов стран балтии,россия высылать дипломат страна балтия
935,936,"['депутат', 'госдумы', 'потерявший', 'квартиры', 'мюнхене', 'получит', 'равноценное', 'жильё', 'россии']",disagree,депутат госдумы потерявший три квартиры в мюнхене получит равноценное жильё в россии ,депутат госдума потерять квартира мюнхен получать равноценный жилье россия
936,937,"['“70', '–', 'это', 'новые', '30”', 'российские', 'ученые', 'определили', 'лучший', 'возраст', 'политиков']",disagree,“70 – это новые 30”  российские ученые определили лучший возраст для политиков , –  это новый ”   российский ученый определять хороший возраст политик
937,938,"['великобритания', 'выделит', 'украине', 'военной', 'помощи', '1', '3', 'миллиарда', 'фунтов']",agree,великобритания выделит украине военной помощи на 1 3 миллиарда фунтов,великобритания выделять украина военный помощь миллиард фунт
938,939,"['спрогнозированы', 'цены', 'билеты', 'открытия', 'международного', 'авиасообщения']",agree,спрогнозированы цены на билеты после открытия международного авиасообщения,спрогнозировать цена билет открытие международный авиасообщение
939,940,"['россия', 'договорилась', 'монголией', 'прекращении', 'выплаты', 'дани', 'договору', '1237', 'года']",disagree,россия договорилась с монголией о прекращении выплаты дани по договору 1237 года ,россия договариваться монголия прекращение выплата дань договор год
940,941,"['правительство', 'великобритании', 'объявило', 'отмене', 'brexit', 'основании', 'интернет', 'опроса']",disagree,правительство великобритании объявило об отмене brexit на основании интернет опроса ,правительство великобритания объявлять отмена brexit основание интернет опрос
941,942,"['лукашенко', 'попросил', 'россию', 'выделить', 'земли', 'сибири', 'постройки', 'лечебно', 'трудовых', 'лагерей']",disagree,лукашенко попросил россию выделить земли в сибири для постройки лечебно трудовых лагерей ,лукашенко попросить россия выделять земля сибирь постройка лечебный трудовой лагерь
942,943,"['киркорову', 'винокуру', 'петросяну', 'винер', 'усмановой', 'запретили', 'въезд', 'латвию']",agree,киркорову  винокуру  петросяну и винер усмановой запретили въезд в латвию,киркоров винокур петросян винер усманова запрещать въезд латвия
943,944,"['эрдоган', 'израиль', 'заплатит', 'агрессию', 'против', 'ракет', 'хамас']",disagree,эрдоган  израиль заплатит за агрессию против ракет хамас ,эрдоган израиль заплатить агрессия против ракета хамас
944,945,"['митинге', 'компании', '«сима', 'ленд»', 'сожгли', 'царский', 'манифест', '19', 'февраля', '1861', 'года']",disagree,на митинге в компании «сима ленд» сожгли царский манифест от 19 февраля 1861 года ,митинг компания сима ленд сжигать царский манифест февраль год
945,946,"['премьер', 'канады', 'вышел', 'журналистам', 'блэкфейсом', 'знак', 'поддержки', 'протестующих', 'сша']",disagree,премьер канады вышел к журналистам с блэкфейсом в знак поддержки протестующих в сша ,премьер канада выходить журналист блэкфейс знак поддержка протестовать сша
946,947,"['российские', 'военные', 'нанесли', 'ракетный', 'удар', 'заводу', 'киевской', 'области']",agree,российские военные нанесли ракетный удар по заводу в киевской области,российский военный наносить ракетный удар завод киевский область
947,948,"['фсб', 'данным', 'властей', 'украины', 'пыталась', 'вывезти', 'медведчука', 'москву', 'подготовила', '«псевдо', 'медведчуков»']",agree,фсб  по данным властей украины  пыталась вывезти медведчука в москву и даже подготовила «псевдо медведчуков»,фсб данные власть украина пытаться вывозить медведчук москва подготовить псевдо медведчук
948,949,"['камчатке', 'открылся', 'первый', 'виртуальный', 'концертный', 'зал']",agree,на камчатке открылся первый виртуальный концертный зал,камчатка открываться первый виртуальный концертный зал
949,950,"['росреестр', 'удалил', 'данные', 'бывшем', 'участке', 'наили', 'аскер', 'заде', 'рублевке']",agree,росреестр удалил данные о бывшем участке наили аскер заде на рублевке,росреестр удалять данные бывший участок наиля аскер зад рублевка
950,951,"['следственный', 'комитет', 'белоруссии', 'завел', 'александра', 'лукашенко', 'уголовное', 'дело', 'финансировании', 'оппозиции']",disagree,следственный комитет белоруссии завел на александра лукашенко уголовное дело о финансировании оппозиции ,следственный комитет белоруссия заводить александр лукашенко уголовный дело финансирование оппозиция
951,952,"['вместе', 'другим', 'мужиком', 'бросившая', 'больного', 'кончаловского', 'высоцкая', 'показала', 'кольцо', 'пальце']",disagree,вместе с другим мужиком бросившая больного кончаловского высоцкая показала кольцо на пальце,вместе мужик бросать больной кончаловский высоцкая показывать кольцо палец
952,953,"['российские', 'морские', 'пехотинцы', 'готовятся', 'высадке', 'заливе', 'свиней']",disagree,российские морские пехотинцы готовятся к высадке в заливе свиней ,российский морской пехотинец готовиться высадка залив свинья
953,954,"['нарышкин', 'назвал', 'предателями', 'россиян', 'предлагающих', 'сша', 'отменить', 'санкции', 'против', 'рф']",disagree,нарышкин назвал предателями россиян предлагающих сша отменить санкции против рф ,нарышкин называть предатель россиянин предлагать сша отменять санкция против
954,955,"['премьер', 'министру', 'великобритании', 'борису', 'джонсону', 'запретили', 'въезд', 'россию']",agree,премьер министру великобритании борису джонсону запретили въезд в россию,премьер министр великобритания борис джонсон запрещать въезд россия
955,956,"['силуанова', 'экономическом', 'форуме', 'представили', 'финансового', 'директора', 'ооо', 'российская', 'федерация']",disagree,силуанова на экономическом форуме представили как финансового директора ооо российская федерация ,силуанова экономический форум представлять финансовый директор ооо российский федерация
956,957,"['элла', 'памфилова', '«мы', 'защищаем', 'граждан', 'фриков', 'навыбирали»']",disagree,элла памфилова  «мы защищаем граждан чтобы они себе фриков не навыбирали» ,"элла памфилова   « защищать гражданин фрик навыбирать » 
"
